Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,22.799999,24.750000,22.799999,23.549999,23.549999,6220
2022-04-14,23.850000,23.850000,23.250000,23.400000,23.400000,6349
2022-04-18,23.400000,23.549999,21.299999,22.049999,22.049999,179932
2022-04-19,32.849998,41.700001,30.000000,30.150000,30.150000,1338335
2022-04-20,33.000000,34.200001,28.500000,31.500000,31.500000,343439
2022-04-21,28.950001,31.500000,25.950001,27.000000,27.000000,186365
2022-04-22,25.650000,27.750000,24.750000,26.400000,26.400000,117624
2022-04-25,20.000000,20.000000,13.600000,14.570000,14.570000,885800
2022-04-26,15.300000,15.970000,13.960000,14.510000,14.510000,409000
2022-04-27,14.640000,14.850000,11.450000,12.100000,12.100000,528600
2022-04-28,11.900000,13.460000,10.000000,11.510000,11.510000,477800
2022-04-29,11.130000,12.550000,10.740000,10.950000,10.950000,372800
2022-05-02,11.020000,13.200000,9.800000,13.200000,13.200000,444400
2022-05-03,13.070000,13.740000,12.060000,12.300000,12.300000,224600
2022-05-04,12.490000,12.820000,11.210000,12.140000,12.140000,131900
2022-05-05,12.080000,12.080000,10.750000,11.050000,11.050000,100100
2022-05-06,10.970000,11.620000,10.500000,10.510000,10.510000,113900
2022-05-09,10.310000,10.310000,9.670000,9.680000,9.680000,65800
2022-05-10,9.620000,10.000000,8.605000,8.925000,8.925000,101100
2022-05-11,8.590000,9.110000,8.525000,8.810000,8.810000,96500
2022-05-12,8.560000,9.697000,8.400000,9.000000,9.000000,67800
2022-05-13,9.380000,10.162000,9.120000,9.530000,9.530000,82200
2022-05-16,9.490000,9.490000,7.380000,7.440000,7.440000,180800
2022-05-17,7.560000,7.820000,7.190000,7.690000,7.690000,64000
2022-05-18,7.380000,8.000000,7.270000,7.830000,7.830000,115500
2022-05-19,7.600000,8.000000,7.300000,7.500000,7.500000,114200
2022-05-20,7.600000,7.600000,6.500000,6.820000,6.820000,113100
2022-05-23,6.940000,7.170000,6.000000,6.050000,6.050000,166800
2022-05-24,5.790000,5.790000,5.140000,5.280000,5.280000,151500
